shop_id,product_id,transaction_type,quantity,unit_price,total_amount,transaction_time,payment_method
15,144,SALE,1,19.89,19.89,2023-11-07,CASH
47,59,SALE,3,277.66,832.98,2023-03-14,UPI
3,14,SALE,6,145.42,872.52,2023-09-09,CASH
34,76,SALE,9,210.5,1894.5,2023-06-05,UPI
24,194,SALE,5,113.83,569.15,2023-12-10,UPI
36,107,SALE,6,457.24,2743.44,2023-06-09,CARD
44,141,SALE,5,374.16,1870.8,2023-07-11,UPI
48,18,SALE,8,12.51,100.08,2023-11-20,CARD
32,75,SALE,2,364.25,728.5,2023-03-15,CARD
39,171,SALE,3,231.46,694.38,2023-10-04,CASH
17,192,SALE,9,230.66,2075.94,2023-08-11,CASH
41,193,SALE,5,57.22,286.1,2023-03-10,CASH
31,126,SALE,7,173.38,1213.66,2023-04-25,UPI
1,8,SALE,5,207.2,1036.0,2023-09-06,CARD
29,72,SALE,7,143.03,1001.21,2023-03-02,UPI
13,3,SALE,6,233.43,1400.58,2023-05-21,UPI
50,142,SALE,1,421.22,421.22,2023-06-19,CARD
50,4,SALE,1,406.54,406.54,2023-03-07,CARD
34,99,SALE,7,197.91,1385.37,2023-04-29,UPI
10,175,SALE,1,445.74,445.74,2023-03-23,UPI
4,120,SALE,1,240.23,240.23,2023-01-10,CASH
21,82,SALE,3,287.26,861.78,2023-05-01,UPI
42,157,SALE,3,391.47,1174.41,2023-04-25,CARD
19,172,SALE,4,508.81,2035.24,2023-02-11,CASH
7,75,SALE,4,368.25,1473.0,2023-09-06,CASH
12,29,SALE,8,179.76,1438.08,2023-10-11,UPI
47,50,SALE,5,52.32,261.6,2023-12-30,UPI
36,153,SALE,3,220.55,661.65,2023-12-26,CARD
35,180,SALE,8,57.27,458.16,2023-07-03,CARD
36,55,SALE,5,215.84,1079.2,2023-05-23,CASH
37,167,SALE,6,190.0,1140.0,2023-10-26,UPI
35,125,SALE,4,100.63,402.52,2023-04-16,CASH
21,72,SALE,3,147.25,441.75,2023-05-01,CASH
40,18,SALE,4,11.14,44.56,2023-05-09,CASH
26,178,SALE,1,16.72,16.72,2023-02-05,UPI
24,180,SALE,7,57.34,401.38,2023-01-22,UPI
29,5,SALE,8,73.08,584.64,2023-10-02,UPI
11,56,SALE,6,115.31,691.86,2023-06-25,CASH
37,34,SALE,8,105.91,847.28,2023-04-19,UPI
19,137,SALE,4,468.77,1875.08,2023-10-11,UPI
17,143,SALE,1,329.16,329.16,2023-11-16,UPI
33,76,SALE,5,222.08,1110.4,2023-03-28,CARD
35,81,SALE,8,196.72,1573.76,2023-01-27,CARD
23,147,SALE,10,251.94,2519.4,2023-04-28,UPI
39,135,SALE,1,44.15,44.15,2023-09-24,CARD
14,97,SALE,4,338.92,1355.68,2023-07-21,CASH
25,136,SALE,1,322.74,322.74,2023-03-04,UPI
42,181,SALE,7,248.66,1740.62,2023-09-20,UPI
31,80,SALE,8,248.59,1988.72,2023-02-07,CASH
29,190,SALE,8,275.01,2200.08,2023-03-28,UPI
20,156,SALE,4,128.88,515.52,2023-08-17,UPI
19,3,SALE,1,234.48,234.48,2023-06-19,CASH
40,139,SALE,7,102.42,716.94,2023-05-30,CASH
4,152,SALE,9,482.88,4345.92,2023-11-13,UPI
28,113,SALE,1,342.79,342.79,2023-01-12,UPI
46,161,SALE,7,209.13,1463.91,2023-02-27,UPI
4,179,SALE,9,101.49,913.41,2023-05-01,CASH
42,116,SALE,9,415.11,3735.99,2023-11-04,CASH
36,79,SALE,8,333.44,2667.52,2023-05-27,UPI
4,28,SALE,4,451.11,1804.44,2023-09-06,CARD
16,132,SALE,10,179.32,1793.2,2023-05-24,CARD
31,130,SALE,3,100.27,300.81,2023-07-11,CASH
46,104,SALE,4,304.82,1219.28,2023-10-25,CARD
22,147,SALE,9,235.72,2121.48,2023-09-18,CASH
8,61,SALE,7,360.75,2525.25,2023-08-08,UPI
39,164,SALE,5,318.02,1590.1,2023-07-15,UPI
24,119,SALE,4,278.58,1114.32,2023-10-09,CASH
35,142,SALE,5,397.32,1986.6,2023-09-16,CARD
37,162,SALE,5,131.07,655.35,2023-07-14,CARD
50,160,SALE,4,387.98,1551.92,2023-08-07,CASH
7,61,SALE,4,415.85,1663.4,2023-03-29,CARD
3,47,SALE,10,82.82,828.2,2023-01-03,CARD
18,114,SALE,4,235.68,942.72,2023-03-24,CARD
36,170,SALE,8,411.56,3292.48,2023-11-02,CARD
44,97,SALE,3,382.44,1147.32,2023-09-08,CARD
24,82,SALE,2,275.96,551.92,2023-11-09,CASH
40,52,SALE,9,183.74,1653.66,2023-01-16,UPI
46,176,SALE,3,208.03,624.09,2023-06-10,UPI
6,108,SALE,2,324.09,648.18,2023-06-15,UPI
46,70,SALE,9,354.3,3188.7,2023-08-04,CARD
47,85,SALE,3,350.27,1050.81,2023-12-03,UPI
7,7,SALE,1,275.78,275.78,2023-01-26,CASH
8,93,SALE,4,170.23,680.92,2023-07-06,CASH
25,104,SALE,10,362.92,3629.2,2023-06-19,CARD
28,14,SALE,7,147.55,1032.85,2023-03-22,UPI
42,56,SALE,3,121.74,365.22,2023-05-23,CARD
40,26,SALE,9,33.34,300.06,2023-07-05,CARD
44,60,SALE,10,104.63,1046.3,2023-09-08,CASH
37,200,SALE,7,264.78,1853.46,2023-12-18,CARD
23,49,SALE,6,54.78,328.68,2023-09-27,CASH
35,34,SALE,6,113.18,679.08,2023-06-26,CASH
23,96,SALE,3,252.39,757.17,2023-04-04,CASH
8,22,SALE,7,21.36,149.52,2023-09-23,UPI
32,137,SALE,6,405.58,2433.48,2023-01-23,CARD
35,1,SALE,7,100.01,700.07,2023-10-15,CARD
14,75,SALE,1,352.95,352.95,2023-08-15,UPI
10,92,SALE,7,167.77,1174.39,2023-04-19,CASH
19,133,SALE,1,80.66,80.66,2023-04-27,UPI
2,178,SALE,8,16.79,134.32,2023-03-06,UPI
40,62,SALE,1,319.82,319.82,2023-12-06,CASH
47,100,SALE,1,186.84,186.84,2023-12-13,CARD
22,161,SALE,8,186.43,1491.44,2023-08-12,CARD
40,151,SALE,7,285.52,1998.64,2023-12-07,CASH
24,146,SALE,7,487.39,3411.73,2023-12-31,UPI
10,16,SALE,10,80.66,806.6,2023-04-27,UPI
43,111,SALE,10,323.89,3238.9,2023-04-24,CARD
45,84,SALE,4,34.24,136.96,2023-08-02,UPI
20,12,SALE,1,349.12,349.12,2023-06-03,CARD
1,187,SALE,1,440.2,440.2,2023-04-05,CARD
3,172,SALE,10,510.92,5109.2,2023-10-23,CASH
33,105,SALE,6,275.59,1653.54,2023-01-10,UPI
28,92,SALE,10,166.52,1665.2,2023-03-25,CASH
39,90,SALE,1,238.93,238.93,2023-02-02,UPI
31,32,SALE,10,310.27,3102.7,2023-04-15,CASH
27,122,SALE,1,237.18,237.18,2023-11-16,UPI
18,85,SALE,2,343.64,687.28,2023-07-21,CASH
26,170,SALE,6,457.28,2743.68,2023-08-22,UPI
38,173,SALE,2,247.76,495.52,2023-02-04,CARD
35,85,SALE,6,318.94,1913.64,2023-02-13,CARD
17,80,SALE,6,272.04,1632.24,2023-04-25,UPI
7,126,SALE,9,169.53,1525.77,2023-12-08,CARD
5,23,SALE,7,79.33,555.31,2023-03-09,UPI
6,38,SALE,2,265.16,530.32,2023-02-22,CARD
21,84,SALE,1,36.62,36.62,2023-09-19,CARD
10,105,SALE,6,251.46,1508.76,2023-09-16,CARD
1,97,SALE,8,390.58,3124.64,2023-09-13,CASH
20,138,SALE,3,179.21,537.63,2023-08-02,CARD
19,104,SALE,5,364.42,1822.1,2023-05-04,CASH
24,44,SALE,9,202.64,1823.76,2023-07-12,CARD
40,148,SALE,2,36.17,72.34,2023-10-18,CARD
12,81,SALE,8,190.49,1523.92,2023-07-21,CASH
11,173,SALE,9,244.67,2202.03,2023-12-14,UPI
7,115,SALE,1,438.21,438.21,2023-10-07,UPI
41,101,SALE,9,215.2,1936.8,2023-04-23,CARD
23,168,SALE,7,391.54,2740.78,2023-11-16,CARD
11,78,SALE,2,333.75,667.5,2023-04-16,CASH
16,19,SALE,6,102.65,615.9,2023-10-09,UPI
46,11,SALE,7,144.16,1009.12,2023-12-25,CASH
30,170,SALE,8,415.49,3323.92,2023-11-21,CASH
8,191,SALE,7,72.96,510.72,2023-06-04,CARD
20,55,SALE,4,244.62,978.48,2023-05-11,CARD
43,44,SALE,8,180.26,1442.08,2023-05-19,UPI
14,50,SALE,5,54.72,273.6,2023-02-02,CASH
40,56,SALE,8,114.38,915.04,2023-02-08,UPI
